"Title","Other titles","BL record ID","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Physical description","Dewey classification","BL shelfmark","Topics","Abstract","Notes"
"'999” : fire & police cartoons","","008137746","GB8600470","0947665021","Hallahan, P. (Pat)","","person","","Hallahan, P. (Pat)","","","England","London","Paramount","1985","[96] pages, illustrations, 21 cm","741.5942","X.990/25409","English wit and humor, Pictorial ; English humorous cartoons","",""
"'Ave you been 'ere long?, or, Tales of an unlucky knight","","007379774","GB8136130","0437120104","Oakey, William","","person","","Oakey, William","","","England","Tadworth","World's Work","1981","[28] pages, illustrations (some colour), 18 cm","741.5942","X.990/17771","English wit and humor, Pictorial ; English humorous cartoons--Collections","","Ill on lining papers"
"'Can I be of assistance'","","011564781","GB6018695","","Stubbs, Michael Lawrence Edward","","person","","Stubbs, Michael Lawrence Edward","","","United Kingdom","","AFiggis","1960","73 pages,illustrations, 13x19 cm","741.59","","","",""
"'Care for a merger?' Cartoons from the 'Wall Street Journal'","","010303006","GB5818586","","","","","","","","","United Kingdom","","Hammond, Hammond","1958","90 pages,illustrations, 26 cm","741.59","","","",""
